Online Q: 0.005023513454943895 , fixed Q: 1.3935890197753906
Online Q: 0.010465964674949646 , fixed Q: 1.4115667343139648
Online Q: 0.00960447732359171 , fixed Q: 1.5214715003967285
Online Q: -0.005317111033946276 , fixed Q: 1.5069836378097534
Online Q: 0.005841734819114208 , fixed Q: 1.4362692832946777
Online Q: -0.0015591018600389361 , fixed Q: 1.5463963747024536
start evaluate
------------------------------------------------------------
Num steps: 135000  return: -21.0
------------------------------------------------------------
Online Q: 0.004609191324561834 , fixed Q: 1.5125491619110107
Online Q: 0.006479524075984955 , fixed Q: 1.4560291767120361
Online Q: 5.716551095247269e-05 , fixed Q: 1.4638864994049072
Online Q: -0.0017830098513513803 , fixed Q: 1.454428791999817
Online Q: -0.004898191895335913 , fixed Q: 1.468317985534668
Online Q: 0.008160549215972424 , fixed Q: 1.402054786682129
